Province,District,Commune Eng,Village ENG,District KH,Commune KH,Village,Code_District,Code Commune,Code Village,Province KH,Province Cod,Vil Lat,Vil Long,Dist Lat,Dist Long
Banteay Meanchey,Mongkol Borei,Soea,Boeng Touch,?????????,??,??????,102,10211,1021107,?????????????????,1,13.39646043,102.9275181,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Phlov Damrei Leu,?????????,??,???????????,102,10211,1021108,?????????????????,1,13.40017827,102.9301541,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Phlov Damrei Kraom,?????????,??,??????????????,102,10211,1021109,?????????????????,1,13.40463657,102.9327192,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Ou Soea,?????????,??,?????,102,10211,1021110,?????????????????,1,13.40109201,102.9413254,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Kouk Samraong,?????????,??,????????,102,10211,1021111,?????????????????,1,13.38244986,102.9830223,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Balang Chrey,?????????,??,????????????,102,10211,1021112,?????????????????,1,13.41439688,102.7878683,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Soea,Ou Choub Thmey,?????????,??,??????????,102,10211,1021113,?????????????????,1,13.4228827,102.7756144,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Srah Reang,Ta In Muoy,?????????,????????,???????,102,10212,1021201,?????????????????,1,13.50241611,103.0519695,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Srah Reang,Ta In Pir,?????????,????????,???????,102,10212,1021202,?????????????????,1,13.50369291,103.0569465,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Srah Reang,Krouch,?????????,????????,?????,102,10212,1021203,?????????????????,1,13.50441367,103.0601548,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Srah Reang,Chamkar Chek,?????????,????????,????????,102,10212,1021204,?????????????????,1,13.50542365,103.06337,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Srah Reang,Srah Reang,?????????,????????,????????,102,10212,1021205,?????????????????,1,13.50334511,103.0715975,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Srah Reang,Ta Chan,?????????,????????,??????,102,10212,1021206,?????????????????,1,13.50158021,103.0771532,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Srah Reang,Kouk Srok,?????????,????????,????????,102,10212,1021207,?????????????????,1,13.50073303,103.0845487,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Srah Reang,Kouk Chrab,?????????,????????,????????,102,10212,1021208,?????????????????,1,13.49899593,103.0937984,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Srah Reang,Kouk Krasang,?????????,????????,??????????,102,10212,1021209,?????????????????,1,13.50174922,103.0993182,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ta Lam,Preah Srae,?????????,????,????????,102,10213,1021301,?????????????????,1,13.5184936,103.0437664,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ta Lam,Ta Lam Kandal,?????????,????,??????????,102,10213,1021302,?????????????????,1,13.51945493,103.0511477,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ta Lam,Ta Lam Chong,?????????,????,???????,102,10213,1021303,?????????????????,1,13.52419517,103.0786161,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ta Lam,Boeng Khleang Lech,?????????,????,????????????,102,10213,1021304,?????????????????,1,13.51630692,103.1121341,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ta Lam,Chong Kouk,?????????,????,??????,102,10213,1021305,?????????????????,1,13.5216386,103.1000843,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ta Lam,Boeng Khleang Kaeut,?????????,????,????????????,102,10213,1021306,?????????????????,1,13.51997752,103.1194947,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ta Lam,Khla Kham Chhkae,?????????,????,???????????,102,10213,1021307,?????????????????,1,13.51906485,103.14131,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Ta Lam,Boeng Veaeng,?????????,????,??????,102,10213,1021308,?????????????????,1,13.49669569,103.1486873,13.54167,103.025
Banteay Meanchey,Phnum Srok,Nam Tau,Rongvean,?????????,?????,??????,103,10301,1030101,?????????????????,1,13.78788303,103.421785,13.783,103.167
Banteay Meanchey,Phnum Srok,Nam Tau,Thmei Khang Tboung,?????????,?????,????????????,103,10301,1030102,?????????????????,1,13.8166247,103.399004,13.783,103.167
Banteay Meanchey,Phnum Srok,Nam Tau,Thmei Khang Cheung,?????????,?????,??????????,103,10301,1030103,?????????????????,1,13.81542861,103.390262,13.783,103.167
